data,subsistema,ena
2016-06-29,NORTE,2042.0
2016-06-29,SUDESTE,27397.0
2016-06-29,SUL,8881.0
2016-06-30,NORDESTE,1381.0
2016-06-30,NORTE,1994.0
2016-06-30,SUDESTE,26581.0
2016-06-30,SUL,8479.0
2016-07-01,NORDESTE,1377.0
2016-07-01,NORTE,2118.0
2016-07-01,SUDESTE,25942.0
2016-07-01,SUL,8074.0
2016-07-02,NORDESTE,1415.0
2016-07-02,NORTE,2122.0
2016-07-02,SUDESTE,25395.0
2016-07-02,SUL,7718.0
2016-07-03,NORDESTE,1432.0
2016-07-03,NORTE,2158.0
2016-07-03,SUDESTE,25092.0
2016-07-03,SUL,7383.0
2016-07-04,NORDESTE,1464.0
2016-07-04,NORTE,2213.0
2016-07-04,SUDESTE,24821.0
2016-07-04,SUL,7094.0
2016-07-05,NORDESTE,1464.0
2016-07-05,NORTE,2213.0
2016-07-05,SUDESTE,24580.0
2016-07-05,SUL,7012.0
2016-07-06,NORDESTE,1384.0
2016-07-06,NORTE,2214.0
2016-07-06,SUDESTE,24230.0
2016-07-06,SUL,7209.0
2016-07-07,NORDESTE,1290.0
2016-07-07,NORTE,2161.0
2016-07-07,SUDESTE,23854.0
2016-07-07,SUL,7212.0
2016-07-08,NORDESTE,1224.0
2016-07-08,NORTE,2124.0
2016-07-08,SUDESTE,23405.0
2016-07-08,SUL,6689.0
2016-07-09,NORDESTE,1193.0
2016-07-09,NORTE,2038.0
2016-07-09,SUDESTE,22995.0
2016-07-09,SUL,6121.0
2016-07-10,NORDESTE,1167.0
2016-07-10,NORTE,2020.0
2016-07-10,SUDESTE,22645.0
2016-07-10,SUL,5824.0
2016-07-11,NORDESTE,1148.0
2016-07-11,NORTE,1962.0
2016-07-11,SUDESTE,22281.0
2016-07-11,SUL,5890.0
2016-07-12,NORDESTE,1137.0
2016-07-12,NORTE,1921.0
2016-07-12,SUDESTE,21978.0
2016-07-12,SUL,7362.0
2016-07-13,NORDESTE,1132.0
2016-07-13,NORTE,1869.0
2016-07-13,SUDESTE,21887.0
2016-07-13,SUL,8524.0
2016-07-14,NORDESTE,1124.0
2016-07-14,NORTE,1838.0
2016-07-14,SUDESTE,22285.0
2016-07-14,SUL,16937.0
2016-07-15,NORDESTE,1196.0
